#R0 Z0 phi0 R1 Z1 phi1 deltaPhi length psiMin
0.471 -0.240 0.000 0.443 -0.214 14.137 0.000 6.560 0.991
0.472 -0.240 0.000 0.442 -0.214 44.216 0.000 22.823 0.981
0.472 -0.240 0.000 0.438 -0.202 62.039 0.000 33.333 0.960
0.473 -0.240 0.000 0.441 -0.212 35.426 0.000 18.690 0.948
0.474 -0.240 0.000 0.440 -0.209 57.279 0.000 31.052 0.942
0.474 -0.240 0.000 0.438 -0.203 31.066 0.000 16.668 0.983
0.475 -0.240 0.000 0.437 -0.199 30.176 0.000 16.248 0.964
0.476 -0.240 0.000 0.441 -0.212 33.107 0.000 17.601 0.952
0.477 -0.240 0.000 0.442 -0.214 250.015 0.000 138.294 0.905
0.477 -0.240 0.000 0.440 -0.210 145.542 0.000 78.867 0.942
0.471 -0.240 0.314 0.443 -0.214 15.142 0.000 6.884 0.991
0.472 -0.240 0.314 0.438 -0.204 208.650 0.000 114.582 0.907
0.472 -0.240 0.314 0.440 -0.210 84.632 0.000 45.848 0.925
0.473 -0.240 0.314 0.438 -0.202 32.437 0.000 17.156 0.958
0.474 -0.240 0.314 0.440 -0.210 105.919 0.000 57.933 0.921
0.474 -0.240 0.314 0.442 -0.214 37.957 0.000 19.740 0.984
0.475 -0.240 0.314 0.437 -0.199 30.498 0.000 16.260 0.978
0.476 -0.240 0.314 0.437 -0.200 30.181 0.000 16.099 0.962
0.477 -0.240 0.314 0.441 -0.212 33.421 0.000 17.600 0.952
0.477 -0.240 0.314 0.440 -0.209 103.078 0.000 56.599 0.925
0.471 -0.240 0.628 0.443 -0.214 16.628 0.000 7.433 0.991
0.472 -0.240 0.628 0.439 -0.206 129.762 0.000 71.089 0.909
0.472 -0.240 0.628 0.439 -0.205 129.323 0.000 70.885 0.907
0.473 -0.240 0.628 0.437 -0.200 32.549 0.000 17.072 0.971
0.474 -0.240 0.628 0.440 -0.209 59.889 0.000 32.000 0.941
0.474 -0.240 0.628 0.440 -0.209 57.187 0.000 30.715 0.946
0.475 -0.240 0.628 0.439 -0.207 31.956 0.000 16.789 0.989
0.476 -0.240 0.628 0.437 -0.198 30.324 0.000 16.032 0.975
0.477 -0.240 0.628 0.437 -0.200 30.162 0.000 15.942 0.962
0.477 -0.240 0.628 0.440 -0.210 32.268 0.000 16.914 0.955
0.471 -0.240 0.942 0.443 -0.214 17.488 0.000 7.689 0.991
0.472 -0.240 0.942 0.438 -0.202 376.222 0.000 210.008 0.884
0.472 -0.240 0.942 0.442 -0.214 532.961 0.000 298.537 0.873
0.473 -0.240 0.942 0.439 -0.206 33.781 0.000 17.497 0.983
0.474 -0.240 0.942 0.439 -0.206 32.896 0.000 17.069 0.954
0.474 -0.240 0.942 0.442 -0.214 62.048 0.000 32.832 0.932
0.475 -0.240 0.942 0.439 -0.208 58.796 0.000 31.342 0.944
0.476 -0.240 0.942 0.438 -0.204 31.328 0.000 16.349 0.988
0.477 -0.240 0.942 0.436 -0.197 30.284 0.000 15.866 0.976
0.477 -0.240 0.942 0.437 -0.199 30.094 0.000 15.766 0.965
0.471 -0.240 1.257 0.443 -0.214 16.909 0.000 7.270 0.991
0.472 -0.240 1.257 0.441 -0.213 206.632 0.000 111.118 0.907
0.472 -0.240 1.257 0.439 -0.206 35.053 0.000 17.934 0.952
0.473 -0.240 1.257 0.615 -0.173 628.319 0.002 349.732 0.874
0.474 -0.240 1.257 0.437 -0.199 32.393 0.000 16.702 0.968
0.474 -0.240 1.257 0.440 -0.210 231.850 0.000 127.164 0.903
0.475 -0.240 1.257 0.439 -0.207 289.524 0.000 160.678 0.884
0.476 -0.240 1.257 0.440 -0.210 181.621 0.000 99.378 0.909
0.477 -0.240 1.257 0.438 -0.204 31.276 0.000 16.178 0.990
0.477 -0.240 1.257 0.436 -0.197 30.328 0.000 15.740 0.979
0.471 -0.240 1.571 0.443 -0.214 16.129 0.000 6.758 0.991
0.472 -0.240 1.571 0.437 -0.200 36.669 0.000 18.558 0.962
0.472 -0.240 1.571 0.437 -0.200 34.652 0.000 17.615 0.968
0.473 -0.240 1.571 0.442 -0.214 158.939 0.000 86.418 0.909
0.474 -0.240 1.571 0.438 -0.204 33.365 0.000 17.010 0.983
0.474 -0.240 1.571 0.438 -0.201 32.382 0.000 16.540 0.959
0.475 -0.240 1.571 0.439 -0.208 59.161 0.000 31.216 0.942
0.476 -0.240 1.571 0.441 -0.212 59.148 0.000 31.182 0.935
0.477 -0.240 1.571 0.439 -0.207 60.559 0.000 31.887 0.948
0.477 -0.240 1.571 0.439 -0.205 31.519 0.000 16.143 0.993
